stdDay,defCnt,deathCnt
2020-12-04,36332,536
2020-12-05,36915,
2020-12-06,37546,545
2020-12-07,38161,549
2020-12-08,,552
2020-12-09,39432,556
2020-12-10,40098,564
2020-12-11,40786,572
2020-12-12,41736,578
2020-12-13,42766,580
2020-12-14,43484,587
2020-12-15,44364,600
2020-12-16,45442,612
2020-12-17,10423,634
2020-12-17,46453,634
2020-12-18,47515,645
2020-12-19,48570,659
2020-12-19,48570,659
2020-12-20,49665,674
2020-12-21,50591,698
2020-12-22,51460,722
2020-12-22,51460,722
2020-12-23,52550,722
2020-12-23,52550,739
2020-12-24,53533,739
2020-12-24,53533,756
2020-12-25,54770,773
2020-12-26,55902,793
2020-12-27,56872,808
2020-12-28,57680,819
2020-12-29,60000,859
2020-12-29,58725,859
2020-12-30,59773,879
2020-12-31,60740,900
2021-01-01,61769,917
2021-01-02,62593,942
2021-01-03,63244,962
2021-01-04,64264,981
2021-01-05,64979,1007
2021-01-05,64979,1007
2021-01-06,65818,1027
2021-01-07,66686,1046
2021-01-08,67358,1081
2021-01-09,67999,1100
2021-01-10,68664,1125
2021-01-11,69114,1140
2021-01-12,69651,1165
2021-01-13,70212,1185
2021-01-14,70728,1195
2021-01-15,71241,1217
2021-01-16,71820,1236
2021-01-17,72340,1249
2021-01-18,72729,1264
2021-01-19,73115,1283
2021-01-20,73518,1300
2021-01-21,73918,1316
2021-01-22,74262,1328
2021-01-23,74692,1337
2021-01-24,75084,1349
2021-01-25,75521,1360
